time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,school_phase,number_schools,number_schools_with_surplus,number_schools_with_deficit,PC_schools_with_surplus,PC_schools_with_deficit,total_revenue_balance_million,average_revenue_balance,revenue_balance_as_pc_total_income,total_revenue_reserve_schools_surplus_million,total_revenue_reserve_schools_deficit_million,schools_surplus_over_threshold,school_over_threshold_pc_surplus,school_surplus_over_threshold_million,school_over_threshold_av_per_school,B01_million,B02_million,B03_million,B05_million,B06_million,OB01_million,OB02_million,OB03_million,total_income_million
201516,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,PRU,33,28,5,84.8,15.2,3.25,98383,8.4,3.76,-0.51,15,53.6,3.14,209087,0.67,2.57,0.23,0.01,0,4.87,0,0.29,38.77
201516,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Secondary,130,101,28,77.7,21.5,32.07,246681,4.1,40.23,-8.16,52,51.5,30.83,592897,15.75,14.38,1.88,0.52,1.94,33.23,1.93,2.36,781.39
201516,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Special,67,55,12,82.1,17.9,12.07,180149,7.3,13.84,-1.77,33,60,11.4,345515,5.13,6.44,0.56,0.54,0.5,11.91,0.29,1.05,166.14
201516,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,All LA maintained schools,1446,1368,75,94.6,5.2,152.65,105565,8.2,158,-5.36,787,57.5,124.23,157858,96.32,55.59,14.05,6.3,0.73,133.9,1.66,20.54,1860.11
201516,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,Nursery,32,28,4,87.5,12.5,2.88,90139,16.1,3.02,-0.14,25,89.3,2.83,113375,0.88,1.91,0.27,0.08,0.09,1.08,1,0.48,17.87
201516,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,Primary,1266,1216,47,96.1,3.7,116.51,92027,8.9,117.68,-1.18,691,56.8,90.35,130758,71.16,43.89,10.6,2.58,1.46,99.64,1.29,13.05,1307.3
201516,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,PRU,15,10,5,66.7,33.3,1.48,98984,5.7,2.14,-0.66,6,60,1.57,261260,0.76,0.72,0.5,0.01,0,1.89,0,0.53,26.22
201516,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,Secondary,72,60,12,83.3,16.7,22.01,305639,5.8,24.22,-2.22,36,60,21.25,590321,16.29,6.76,2.21,2.44,-1.04,22.5,-0.71,4.83,379.12
201516,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,Special,61,54,7,88.5,11.5,9.76,160080,7.5,10.93,-1.16,29,53.7,8.23,283674,7.23,2.31,0.47,1.19,0.22,8.79,0.08,1.64,129.6
201516,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,All LA maintained schools,1822,1701,100,93.4,5.5,276.69,151943,9.2,292.27,-15.58,1030,60.6,246.66,239476,166.64,102.69,19.23,0.81,7.36,252.39,7.25,22.08,3019.94
201516,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,Nursery,60,52,8,86.7,13.3,5.71,95239,15,5.96,-0.25,41,78.8,5.65,137833,4.05,1.21,0.76,0,0.46,4.55,0.95,0.8,38.02
201516,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,Primary,1474,1400,61,95,4.1,193.59,131427,9.7,197.85,-4.26,826,59,161.1,195034,110.49,76.99,14.26,0.43,6.11,171.61,5.35,16.22,1989.21
201516,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,PRU,33,26,3,78.8,9.1,5.17,156734,12.5,5.44,-0.27,16,61.5,4.99,312140,1.67,3.5,0.4,0.06,0,4.05,0,0.61,41.38
201516,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,Secondary,152,133,16,87.5,10.5,49.21,323765,7,58.11,-8.9,89,66.9,53.73,603749,36.73,11.69,2.03,0.27,0.8,48.01,0.92,2.46,705.86
201516,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,Special,103,90,12,87.4,11.7,23,223270,9.4,24.9,-1.9,58,64.4,21.18,365230,13.7,9.3,1.77,0.05,-0.01,24.17,0.03,1.99,245.47
201516,Financial year,Regional,England,E92000001,East of England,E12000006,,,,All LA maintained schools,1889,1812,48,95.9,2.5,236.92,125423,9.3,241.85,-4.92,1072,59.2,194.17,181131,73.1,159.84,14.48,6.97,3.99,214.99,3.65,21.64,2536.64
201516,Financial year,Regional,England,E92000001,East of England,E12000006,,,,Nursery,39,38,1,97.4,2.6,4.66,119400,15.5,4.67,-0.02,33,86.8,4.51,136551,0.86,2.59,0.44,0.07,1.2,3.08,0.99,0.54,30.07
201516,Financial year,Regional,England,E92000001,East of England,E12000006,,,,Primary,1654,1599,31,96.7,1.9,187.63,113439,10,188.24,-0.61,929,58.1,148.79,160158,58.94,125.86,11.25,4.25,2.83,167.17,2.68,16.3,1881.59
201516,Financial year,Regional,England,E92000001,East of England,E12000006,,,,PRU,30,29,1,96.7,3.3,6.95,231653,15.8,6.95,0,21,72.4,6.53,310736,1.12,5.82,0.22,0.01,0,5.65,0,0.29,44.03
201516,Financial year,Regional,England,E92000001,East of England,E12000006,,,,Secondary,94,76,13,80.9,13.8,21.21,225660,5.1,25.45,-4.23,50,65.8,21.25,425025,7.82,13.6,1.98,1.74,-0.21,22.44,-0.16,2.72,412.32
201516,Financial year,Regional,England,E92000001,East of England,E12000006,,,,Special,72,70,2,97.2,2.8,16.48,228848,9.8,16.54,-0.06,39,55.7,13.1,335973,4.35,11.96,0.6,0.9,0.17,16.65,0.14,1.8,168.63
201516,Financial year,Regional,England,E92000001,South East,E12000008,,,,All LA maintained schools,2632,2444,159,92.9,6,275.92,104832,6.7,295.59,-19.67,1067,43.7,204.64,191786,136.66,133.97,22.05,7.75,5.29,269.94,4.92,28.03,4127.44
201516,Financial year,Regional,England,E92000001,South East,E12000008,,,,Nursery,43,32,11,74.4,25.6,2.04,47486,6.2,2.65,-0.61,18,56.3,2.04,113580,0.78,1.07,0.42,0.07,0.2,2.19,0.41,0.49,32.76
201516,Financial year,Regional,England,E92000001,South East,E12000008,,,,Primary,2212,2097,96,94.8,4.3,200.27,90536,7.6,203.53,-3.27,875,41.7,132.45,151366,97.19,98.45,17.64,4.63,4.63,188.37,4.15,23.11,2623.94
201516,Financial year,Regional,England,E92000001,South East,E12000008,,,,PRU,46,37,4,80.4,8.7,6.56,142506,10.4,6.73,-0.18,23,62.2,5.62,244222,4.13,2.38,0.66,0.01,0.04,6.51,0.05,0.44,62.84
201516,Financial year,Regional,England,E92000001,South East,E12000008,,,,Secondary,194,155,36,79.9,18.6,37.06,191020,3.5,51.05,-13.99,76,49,38.72,509523,19.85,16.85,1.18,2.83,0.36,45.57,0.31,1.62,1065.35
201516,Financial year,Regional,England,E92000001,South East,E12000008,,,,Special,137,123,12,89.8,8.8,30,218958,8.8,31.62,-1.63,75,61,25.8,344062,14.71,15.22,2.15,0.21,0.06,27.3,0,2.37,342.55
201516,Financial year,Regional,England,E92000001,South West,E12000009,,,,All LA maintained schools,1590,1466,102,92.2,6.4,144.17,90671,7.2,156.1,-11.94,805,54.9,116.73,145011,57.79,83.93,12.67,2.81,2.45,143.51,2.1,17.15,2001.56
201516,Financial year,Regional,England,E92000001,South West,E12000009,,,,Nursery,17,11,6,64.7,35.3,0.01,848,0.1,0.52,-0.5,3,27.3,0.27,90999,0.1,-0.19,0.29,0,0.1,0.32,0.14,0.22,10.42
201516,Financial year,Regional,England,E92000001,South West,E12000009,,,,Primary,1391,1308,62,94,4.5,114.37,82220,8.4,116.1,-1.73,722,55.2,85.29,118133,44.68,67.9,9.29,1.71,1.78,108.77,1.41,12.57,1364.11
201516,Financial year,Regional,England,E92000001,South West,E12000009,,,,PRU,22,16,5,72.7,22.7,3.16,143462,8.9,3.72,-0.56,12,75,3.28,273266,1.33,1.82,0.45,0,0,3.08,0,0.52,35.64
201516,Financial year,Regional,England,E92000001,South West,E12000009,,,,Secondary,90,68,22,75.6,24.4,14.79,164280,3.5,23.36,-8.58,42,61.8,19.63,467368,6.22,8.05,1.2,0.74,0.52,18.95,0.5,2.08,424.13
201516,Financial year,Regional,England,E92000001,South West,E12000009,,,,Special,70,63,7,90,10,11.84,169194,7.1,12.41,-0.57,26,41.3,8.26,317709,5.45,6.35,1.44,0.36,0.04,12.39,0.04,1.76,167.27
201516,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,All LA maintained schools,842,771,65,91.6,7.7,210.02,249428,8.3,217.54,-7.53,399,51.8,175.31,439383,89.47,120.06,10.19,11.79,0.48,218.84,0.32,23.06,2528.69
201516,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,Nursery,48,43,5,89.6,10.4,6.94,144624,12.8,7.29,-0.35,31,72.1,6.9,222603,1.66,4.86,0.42,-0.35,0.42,6.13,-0.06,-0.21,54.18
201516,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,Primary,640,595,42,93,6.6,130.68,204190,8.2,133.18,-2.5,284,47.7,100.18,352744,62.94,68.42,5.75,4.81,-0.68,135.63,-0.48,12.36,1591.51
201516,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,PRU,14,10,1,71.4,7.1,3.57,254782,10.2,3.6,-0.03,8,80,3.35,418784,0.31,3.26,0.14,0,0,2.4,0,0.13,34.87
201516,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,Secondary,85,74,11,87.1,12.9,46.23,543850,6.8,50.19,-3.97,40,54.1,43.69,1092140,14.28,31.58,2.25,6.79,0.37,51.8,0.55,8.67,677.47
201516,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,Special,55,49,6,89.1,10.9,22.6,410920,13.2,23.28,-0.68,36,73.5,21.2,588830,10.28,11.95,1.63,0.54,0.37,22.88,0.31,2.1,170.65
201516,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,All LA maintained schools,1112,1053,57,94.7,5.1,226.16,203377,7.5,236.54,-10.38,514,48.8,180.83,351804,115.54,106.29,8.66,3.61,4.32,221.95,4.81,11.63,3025.57
201516,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,Nursery,31,30,1,96.8,3.2,4.72,152191,16.8,4.75,-0.04,22,73.3,4.5,204678,1.93,1.53,0.21,0.04,1.25,3.25,1.36,0.32,28.15
201516,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,Primary,898,863,33,96.1,3.7,172.02,191553,8.3,173.35,-1.34,409,47.4,128.05,313069,88.89,80.76,6.03,1.83,2.36,165.39,3.04,7.65,2062.46
201516,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,PRU,26,25,1,96.2,3.8,4.2,161578,8.8,4.21,0,15,60,3.27,217727,2.16,2.04,0.07,0,0,3.47,0,0.09,47.79
201516,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,Secondary,93,73,20,78.5,21.5,28.35,304879,4.1,37.27,-8.92,38,52.1,32.21,847567,16.48,11.86,1.9,1.05,0.01,35.34,-0.04,2.84,684.28
201516,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,Special,64,62,2,96.9,3.1,16.87,263558,8.3,16.95,-0.08,30,48.4,12.81,426842,6.08,10.09,0.46,0.7,0.7,14.49,0.45,0.73,202.9
201617,Financial year,Regional,England,E92000001,North East,E12000001,,,,All LA maintained schools,918,787,114,85.7,12.4,73.05,79571,5.5,88.95,-15.9,370,47,64.44,174152,58.43,13.56,8.53,1.05,1.05,94.21,1.17,10.06,1339.53
201617,Financial year,Regional,England,E92000001,North East,E12000001,,,,Nursery,34,24,10,70.6,29.4,1.94,57127,13.2,2.23,-0.29,19,79.2,2.11,110857,1.48,0.28,0.33,0,0.18,2.47,0.19,0.3,14.72
201617,Financial year,Regional,England,E92000001,North East,E12000001,,,,Primary,740,655,74,88.5,10,61.01,82445,7.2,64.19,-3.18,303,46.3,46.24,152616,45.62,14.52,5.81,0.35,0.87,72.84,0.93,6.36,853.01
201617,Financial year,Regional,England,E92000001,North East,E12000001,,,,PRU,14,7,5,50,35.7,0.35,25098,1.6,0.54,-0.19,1,14.3,0.25,252643,0.26,0.09,0.11,0,0,1.24,0,0.14,21.76
201617,Financial year,Regional,England,E92000001,North East,E12000001,,,,Secondary,86,59,23,68.6,26.7,1.88,21851,0.5,14.02,-12.14,28,47.5,10.26,366456,4.9,-2.92,1.73,0.7,-0.11,9.09,-0.12,2.81,348.95
201617,Financial year,Regional,England,E92000001,North East,E12000001,,,,Special,44,42,2,95.5,4.5,7.86,178728,7.8,7.96,-0.1,19,45.2,5.57,293364,6.17,1.58,0.55,0.01,0.12,8.58,0.17,0.46,101.09
201617,Financial year,Regional,England,E92000001,North West,E12000002,,,,All LA maintained schools,2714,2452,245,90.3,9,234.66,86464,5.3,268.18,-33.52,899,36.7,167.87,186727,95.17,136.54,14.49,3.32,2.95,275.95,3.12,19.08,4396.82
201617,Financial year,Regional,England,E92000001,North West,E12000002,,,,Nursery,69,52,17,75.4,24.6,1.79,25920,4.7,2.97,-1.18,23,44.2,2.26,98143,0.85,0.64,0.28,0.06,0.3,2.26,0.51,0.32,38.32
201617,Financial year,Regional,England,E92000001,North West,E12000002,,,,Primary,2233,2072,152,92.8,6.8,176.4,78999,6.4,182.27,-5.86,726,35,106.95,147315,73.42,101.03,9.84,2.53,1.96,194.31,2.01,12.2,2750.56
201617,Financial year,Regional,England,E92000001,North West,E12000002,,,,PRU,40,27,11,67.5,27.5,1.14,28595,1.7,3.47,-2.32,13,48.1,2.25,172698,-0.85,1.99,0.41,0,0,3.47,0,0.56,65.65
201617,Financial year,Regional,England,E92000001,North West,E12000002,,,,Secondary,233,174,57,74.7,24.5,31.78,136402,2.6,54.68,-22.9,74,42.5,38.47,519808,11,20.09,2.2,0.64,0.69,50.83,0.58,3.51,1232.29
201617,Financial year,Regional,England,E92000001,North West,E12000002,,,,Special,139,127,8,91.4,5.8,23.54,169379,7.6,24.8,-1.26,63,49.6,17.95,284892,10.74,12.8,1.76,0.09,0,25.08,0.02,2.49,310.01
201617,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,All LA maintained schools,1639,1453,176,88.7,10.7,137.81,84082,5.4,160.23,-22.42,605,41.6,109.98,181779,69.32,62.66,10.11,4.48,5.82,164.53,6.73,13.33,2571.84
201617,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Nursery,28,25,3,89.3,10.7,1.71,61085,10.3,1.75,-0.04,14,56,1.35,96212,0.63,1.38,0.19,0.12,-0.3,1.83,0.08,0.28,16.59
201617,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Primary,1397,1274,117,91.2,8.4,110.78,79300,6.6,114.4,-3.61,507,39.8,73.54,145049,62.84,43.65,7.7,2.24,4.29,122.02,4.45,9.55,1683.97
201617,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,PRU,31,23,6,74.2,19.4,2.16,69590,5.2,3.17,-1.01,12,52.2,2.58,214598,-0.32,2.44,0.21,0.18,0.04,3.05,0,0.25,41.13
201617,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Secondary,117,77,39,65.8,33.3,14.69,125559,2.2,28.67,-13.98,43,55.8,22.75,529016,2.69,10.64,1.41,1.22,1.36,26.24,1.7,2.16,671.3
201617,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Special,66,54,11,81.8,16.7,8.47,128349,5.3,12.24,-3.77,29,53.7,9.77,336795,3.48,4.55,0.6,0.71,0.43,11.4,0.5,1.1,158.85
